,Cultivar,Alcohol,Malic acid,Ash,Flavanoids,Color intensity,OD280/OD315
0,2,11.81,2.12,2.74,0.99,2.5,2.26
1,3,13.4,4.6,2.86,0.96,8.5,1.92
2,1,13.56,1.71,2.31,3.29,6.13,3.38
3,3,13.73,4.36,2.26,0.47,6.62,1.75
4,2,12.17,1.45,2.53,1.75,2.95,2.23
5,3,14.13,4.1,2.74,0.76,9.2,1.6
6,1,13.68,1.83,2.36,2.69,3.84,2.87
7,3,13.4,3.91,2.48,0.75,7.3,1.56
8,1,13.86,1.35,2.27,3.15,7.22,3.55
9,2,12.33,1.1,2.28,1.09,3.27,1.67
10,3,12.86,1.35,2.32,1.25,4.1,1.29
11,3,13.11,1.9,2.75,1.28,7.1,1.33
12,3,13.69,3.26,2.54,0.56,5.88,1.82
13,1,13.75,1.73,2.41,2.76,5.6,2.9
14,3,13.32,3.24,2.38,0.76,8.42,1.62
15,2,12.42,4.43,2.73,2.13,2.08,3.12
16,2,11.82,1.47,1.99,1.6,1.95,3.33
17,2,12.08,2.08,1.7,2.17,3.3,2.96
18,2,11.41,0.74,2.5,2.01,3.08,2.31
19,2,12.42,2.55,2.27,1.84,2.7,3.3
20,1,13.29,1.97,2.68,3.23,6.0,2.84
21,1,13.71,1.86,2.36,2.88,3.8,4.0
22,1,12.93,3.8,2.65,2.41,4.5,3.52
23,1,13.56,1.73,2.46,2.78,6.25,3.03
24,2,12.37,1.63,2.3,2.45,2.12,2.78
25,2,12.0,0.92,2.0,2.26,2.5,3.12
26,3,13.08,3.9,2.36,1.39,9.4,1.33
27,2,11.56,2.05,3.23,5.08,6.0,3.69
28,3,12.88,2.99,2.4,1.22,5.4,1.42
29,1,13.05,2.05,3.22,2.68,3.58,3.2
30,1,14.38,1.87,2.38,3.64,7.5,3.0
31,1,13.16,2.36,2.67,3.24,5.68,3.17
32,1,13.63,1.81,2.7,2.91,7.3,2.88
33,1,14.1,2.16,2.3,3.32,5.75,3.17
34,2,12.37,1.13,2.16,3.1,4.45,2.87
35,2,12.29,1.41,1.98,2.5,2.9,2.74
36,2,12.37,1.21,2.56,2.65,4.6,2.3
37,1,14.37,1.95,2.5,3.49,7.8,3.45
38,3,13.48,1.67,2.64,1.1,11.75,1.78
39,1,13.51,1.8,2.65,2.53,4.2,2.87
40,1,13.64,3.1,2.56,3.03,5.1,3.36
41,2,12.37,1.17,1.92,2.0,4.68,3.48
42,2,11.65,1.67,2.62,1.61,2.6,3.21
43,1,13.72,1.43,2.5,3.67,6.8,2.87
44,2,11.64,2.06,2.46,1.69,2.8,2.75
45,2,12.42,1.61,2.19,2.09,2.06,2.96
46,3,12.84,2.96,2.61,0.6,4.92,2.15
47,3,12.2,3.03,2.32,0.49,5.5,1.83
48,1,13.2,1.78,2.14,2.76,4.38,3.4
49,2,12.37,0.94,1.36,0.57,1.95,1.82
50,1,13.83,1.57,2.62,3.4,6.6,2.57
51,2,11.45,2.4,2.42,2.79,3.25,3.39
52,3,12.53,5.51,2.64,0.6,5.0,1.69
53,3,12.93,2.81,2.7,0.5,4.6,2.31
54,1,13.9,1.68,2.12,3.39,6.1,3.33
55,1,13.87,1.9,2.8,2.97,4.5,3.4
56,2,12.69,1.53,2.26,1.46,3.05,2.06
57,2,11.87,4.31,2.39,3.03,2.8,3.64
58,2,12.37,1.07,2.1,3.75,4.5,2.77
59,1,14.83,1.64,2.17,2.98,5.2,2.85
60,3,13.49,3.59,2.19,0.48,5.7,1.82
61,2,13.86,1.51,2.67,2.86,3.38,3.16
62,3,13.71,5.65,2.45,0.61,7.7,1.74
63,2,12.21,1.19,1.75,1.28,2.85,3.07
64,2,11.66,1.88,1.92,1.57,3.8,2.14
65,1,13.07,1.5,2.1,2.64,3.7,2.69
66,2,12.99,1.67,2.6,2.89,3.35,3.5
67,2,11.03,1.51,2.2,2.17,1.9,2.87
68,2,11.82,1.72,1.88,1.64,2.06,2.44
69,3,12.36,3.83,2.38,0.92,7.65,1.58
70,3,13.27,4.28,2.26,0.69,10.2,1.56
71,2,12.07,2.16,2.17,2.65,2.76,3.28
72,3,13.36,2.56,2.35,0.5,5.6,2.47
73,3,12.6,2.46,2.2,0.66,7.1,1.58
74,3,13.84,4.12,2.38,0.83,9.01,1.64
75,3,14.34,1.68,2.7,1.31,13.0,1.96
76,2,12.52,2.43,2.17,2.27,2.0,2.78
77,3,13.17,2.59,2.37,0.68,9.3,1.62
78,2,12.22,1.29,1.94,2.04,2.7,3.02
79,1,14.22,1.7,2.3,3.0,6.38,3.31
80,2,12.72,1.81,2.2,2.53,3.9,3.14
81,2,11.61,1.35,2.7,2.92,2.65,3.26
82,3,12.85,3.27,2.58,0.6,5.58,2.11
83,1,14.39,1.87,2.45,2.52,5.25,3.58
84,1,13.05,1.73,2.04,3.27,7.2,2.91
85,2,11.62,1.99,2.28,2.26,3.25,2.96
86,1,13.3,1.72,2.14,2.19,3.95,2.77
87,2,12.08,1.39,2.5,2.29,2.9,3.19
88,2,11.79,2.13,2.78,2.24,3.0,2.44
89,3,12.25,3.88,2.2,0.78,8.21,2.0
90,3,12.87,4.61,2.48,0.65,7.65,1.86
91,2,12.08,1.33,2.3,1.59,1.74,3.21
92,2,12.08,1.13,2.51,1.58,2.2,2.72
93,2,12.16,1.61,2.31,1.69,2.45,2.26
94,1,13.05,1.65,2.55,2.43,4.25,2.51
95,2,12.64,1.36,2.02,1.41,5.75,1.59
96,1,14.38,3.59,2.28,3.17,4.9,3.44
97,2,12.04,4.3,2.38,1.75,2.6,2.57
98,2,12.43,1.53,2.29,3.15,3.94,2.84
99,3,12.7,3.55,2.36,1.2,5.0,1.29
